iter	Logloss
0	0.6677746837
1	0.6448824113
2	0.6218574001
3	0.6010194806
4	0.5799693463
5	0.5626609527
6	0.5441674687
7	0.5299007429
8	0.5143752698
9	0.4994414559
10	0.4875428546
11	0.4759702933
12	0.4633582384
13	0.4515622907
14	0.4421174527
15	0.4326129803
16	0.4237204268
17	0.4150392279
18	0.4071968909
19	0.4001324277
20	0.393756902
21	0.3870471586
22	0.3812120041
23	0.3747639274
24	0.3684272048
25	0.3626404926
26	0.3574828968
27	0.3536940795
28	0.3488616685
29	0.3436153477
30	0.3385439689
31	0.3349835416
32	0.3307659721
33	0.3280644295
34	0.3250014424
35	0.3219622494
36	0.3179441864
37	0.314611918
38	0.3116713898
39	0.308517404
40	0.3062104167
41	0.3040120718
42	0.3017934753
43	0.2990959064
44	0.2970872198
45	0.2945415455
46	0.2919465242
47	0.2903899515
48	0.2890928359
49	0.2875157162
50	0.2855168035
51	0.2838789046
52	0.2813235725
53	0.2794988594
54	0.2771966522
55	0.2754885626
56	0.2737666478
57	0.2715154461
58	0.2692028082
59	0.2675660401
60	0.2657069137
61	0.2639521609
62	0.2621085824
63	0.2607096038
64	0.2593232176
65	0.2579268848
66	0.256502421
67	0.2552792996
68	0.2530060285
69	0.2518309616
70	0.2509421205
71	0.2490690386
72	0.2467547314
73	0.2455503777
74	0.2439966953
75	0.2433010834
76	0.2418687583
77	0.2411668791
78	0.2393964407
79	0.2377727922
80	0.2359695933
81	0.234771407
82	0.2336639244
83	0.2328741561
84	0.232112178
85	0.230589145
86	0.2296713338
87	0.2288748982
88	0.2280725057
89	0.2266912818
90	0.2255979411
91	0.2245404076
92	0.223748987
93	0.2228675764
94	0.2221351258
95	0.2214298289
96	0.2204405756
97	0.2190898315
98	0.2182262799
99	0.2170991792
100	0.216273652
101	0.2152746178
102	0.2145499813
103	0.2137685444
104	0.2131468561
105	0.2122587955
106	0.2114197762
107	0.2105970024
108	0.2098438536
109	0.2091591085
110	0.2083421572
111	0.2077750322
112	0.207008772
113	0.2062108647
114	0.2054931771
115	0.2047992978
116	0.2040128366
117	0.2034367287
118	0.2028148305
119	0.20161883
120	0.2009516588
121	0.200018371
122	0.1991943928
123	0.1977227179
124	0.1967334816
125	0.1956432013
126	0.1950066401
127	0.1940367048
128	0.1934318072
129	0.1929476387
130	0.1921950195
131	0.1914148427
132	0.1906052833
133	0.1901057333
134	0.1894371196
135	0.188921871
136	0.1886083762
137	0.1879091198
138	0.1875731507
139	0.1867822495
140	0.1862756255
141	0.1859783515
142	0.185491126
143	0.1851825598
144	0.1840362359
145	0.1833447978
146	0.1829967
147	0.1823961195
148	0.1818410943
149	0.1813380328
150	0.1808623287
151	0.1804982714
152	0.1801259104
153	0.1798450849
154	0.1793780502
155	0.17890683
156	0.178226814
157	0.1774894128
158	0.1767988695
159	0.1760582202
160	0.1754195697
161	0.1748721387
162	0.1743391203
163	0.1740309357
164	0.1736236821
165	0.1730734029
166	0.1724480524
167	0.1720328345
168	0.171335072
169	0.1708264087
170	0.1704757007
171	0.1700502682
172	0.169349482
173	0.1687915607
174	0.1681979887
175	0.1678881823
176	0.1675011902
177	0.1672677191
178	0.1664579033
179	0.1657968473
180	0.1655622123
181	0.1651096194
182	0.1647612928
183	0.1645364838
184	0.1640872782
185	0.1637136363
186	0.1633815045
187	0.1630064154
188	0.162453728
189	0.1622373277
190	0.1619518389
191	0.1616381206
192	0.1613231535
193	0.1610370791
194	0.1603967898
195	0.1599901984
196	0.1595826836
197	0.1591789824
198	0.1588284907
199	0.158506078
200	0.1581642419
201	0.1578305642
202	0.1575482075
203	0.1572108127
204	0.1567510267
205	0.1563314995
206	0.1556856902
207	0.1553947104
208	0.1551123311
209	0.1545883678
210	0.1543025712
211	0.1539775419
212	0.1535087735
213	0.1532478712
214	0.1524219879
215	0.1520277728
216	0.1517025761
217	0.1514937243
218	0.1510699137
219	0.1505878347
220	0.1503362751
221	0.1496629414
222	0.1493200346
223	0.1491526691
224	0.1487983369
225	0.1483659617
226	0.1479933193
227	0.1477290961
228	0.1473618155
229	0.1466906912
230	0.1465014696
231	0.1461897764
232	0.1457850687
233	0.1452717852
234	0.1449630476
235	0.1446820315
236	0.1442656876
237	0.1438369992
238	0.1436526151
239	0.1433933077
240	0.1431288424
241	0.1425966124
242	0.1421554108
243	0.1417886032
244	0.1415468126
245	0.1411953822
246	0.1407180715
247	0.14038732
248	0.1400543049
249	0.1396760875
250	0.1393614142
251	0.1391289582
252	0.1387453103
253	0.1384834783
254	0.1380924811
255	0.1376331668
256	0.1372792027
257	0.1369504611
258	0.1366808319
259	0.1363917385
260	0.13618939
261	0.1358678856
262	0.135511672
263	0.1353516665
264	0.1350114594
265	0.1347844142
266	0.1345173478
267	0.1342803038
268	0.1340144743
269	0.1334470086
270	0.1328815901
271	0.1322955889
272	0.1320139039
273	0.1317607378
274	0.1311618202
275	0.1308075922
276	0.1304772065
277	0.1302032997
278	0.1300007809
279	0.1296589979
280	0.1294392166
281	0.1289591397
282	0.1285980556
