iter	Passed	Remaining
750	1301	431
751	1303	429
752	1304	428
753	1306	426
754	1307	424
755	1309	422
756	1311	421
757	1313	419
758	1316	417
759	1317	416
760	1319	414
761	1321	412
762	1323	410
763	1324	409
764	1326	407
765	1328	405
766	1330	404
767	1331	402
768	1333	400
769	1335	398
770	1337	397
771	1338	395
772	1340	393
773	1342	391
774	1343	390
775	1345	388
776	1347	386
777	1348	384
778	1350	383
779	1352	381
780	1353	379
781	1355	377
782	1357	376
783	1359	374
784	1360	372
785	1362	370
786	1364	369
787	1365	367
788	1367	365
789	1369	364
790	1371	362
791	1372	360
792	1374	358
793	1376	357
794	1377	355
795	1379	353
796	1381	351
797	1382	350
798	1384	348
799	1386	346
800	1387	344
801	1389	343
802	1391	341
803	1392	339
804	1394	337
805	1396	336
806	1398	334
807	1399	332
808	1401	330
809	1403	329
810	1404	327
811	1406	325
812	1408	323
813	1410	322
814	1411	320
815	1413	318
816	1415	316
817	1416	315
818	1418	313
819	1420	311
820	1422	310
821	1424	308
822	1426	306
823	1428	305
824	1429	303
825	1431	301
826	1433	299
827	1434	298
828	1436	296
829	1438	294
830	1440	292
831	1441	291
832	1443	289
833	1445	287
834	1447	285
835	1448	284
836	1450	282
837	1451	280
838	1453	278
839	1455	277
840	1457	275
841	1458	273
842	1460	271
843	1462	270
844	1464	268
845	1466	266
846	1467	265
847	1469	263
848	1470	261
849	1473	259
850	1474	258
851	1476	256
852	1478	254
853	1479	253
854	1481	251
855	1483	249
856	1484	247
857	1486	246
858	1488	244
859	1490	242
860	1492	240
861	1493	239
862	1495	237
863	1497	235
864	1499	233
865	1500	232
866	1502	230
867	1504	228
868	1505	227
869	1507	225
870	1509	223
871	1510	221
872	1512	220
873	1514	218
874	1515	216
875	1517	214
876	1519	213
877	1520	211
878	1522	209
879	1524	207
880	1526	206
881	1527	204
882	1529	202
883	1531	200
884	1533	199
885	1534	197
886	1536	195
887	1538	193
888	1539	192
889	1541	190
890	1543	188
891	1545	187
892	1546	185
893	1548	183
894	1550	181
895	1551	180
896	1553	178
897	1555	176
898	1557	174
899	1558	173
900	1560	171
901	1562	169
902	1564	168
903	1565	166
904	1567	164
905	1569	162
906	1571	161
907	1572	159
908	1574	157
909	1576	155
910	1578	154
911	1579	152
912	1581	150
913	1583	148
914	1584	147
915	1586	145
916	1588	143
917	1589	142
918	1591	140
919	1593	138
920	1595	136
921	1596	135
922	1598	133
923	1600	131
924	1602	129
925	1603	128
926	1605	126
927	1607	124
928	1609	122
929	1610	121
930	1612	119
931	1613	117
932	1615	116
933	1617	114
934	1618	112
935	1620	110
936	1622	109
937	1623	107
938	1625	105
939	1627	103
940	1629	102
941	1631	100
942	1632	98
943	1634	96
944	1636	95
945	1638	93
946	1640	91
947	1641	90
948	1643	88
949	1645	86
950	1646	84
951	1648	83
952	1649	81
953	1651	79
954	1653	77
955	1655	76
956	1656	74
957	1658	72
958	1660	70
959	1661	69
960	1663	67
961	1665	65
962	1667	64
963	1669	62
964	1670	60
965	1672	58
966	1673	57
967	1675	55
968	1677	53
969	1679	51
970	1680	50
971	1682	48
972	1684	46
973	1686	45
974	1688	43
975	1689	41
976	1691	39
977	1693	38
978	1694	36
979	1696	34
980	1698	32
981	1699	31
982	1701	29
983	1703	27
984	1705	25
985	1706	24
986	1708	22
987	1711	20
988	1712	19
989	1714	17
990	1716	15
991	1718	13
992	1719	12
993	1721	10
994	1722	8
995	1724	6
996	1726	5
997	1728	3
998	1729	1
999	1731	0
